TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1679			GENERAL: Memo. Precedents in Cases of Arbitration. (Mr. A. S. Green) 	Sept. 1868	18680901	18680930		Bound: Mema.	O	N	30	4528817	6
fo 881/1680			UNITED STATES: List. Claims filed by British Subjects at H.M. Legation at Washington 	1861-1869	18610101	18691231		Bound: America 16.	O	N	30	4534653	6
fo 881/1681			UNITED STATES: Letter. Proposed Consular Convention. (Mr. J. L. Motley). Bound: America 55. Missing at transfer 	Aug. 5, 1869	18690805	18690805			O	N	30	4534658	6
fo 881/1682			RUSSIA: Draft Convention. Russia and the Principalities. Missing at transfer 	1869	18690101	18691231			O	N	30	4532275	6
fo 881/1683			"AUSTRIA-HUNGARY: Desp. Pamphlet, ""The Neutrality of Austria and Hungary in the event of War."" (Lord Bloomfield) "	Aug. 24, 1869	18690824	18690824		Bound: Austria 8.	O	N	30	4525697	6
fo 881/1684			AUSTRIA-HUNGARY: Desp. Dualistic System of Government in Austro-Hungarian Empire. (Lord Bloomfield) 	Aug. 24, 1869	18690824	18690824		Bound: Austria 8.	O	N	30	4525698	6
fo 881/1685			FRANCE: 1st Projet Caisse de Retraite seulement, remis � l'Empereur en 1865 2nd Projet. Caisse de Retraite et Banques de Cr�dit, remis � l'Empereur, 2 Mai, 1869 	Sept. 1869	18690901	18690930		Bound: France 11.	O	N	30	4528130	6
fo 881/1686			PARAGUAY: Report. Visit of General McMahon to British Subjects in Paraguay. Missing at transfer 	Aug. 30, 1869	18690830	18690830			O	N	30	4531515	6
fo 881/1687			ASIA &#38; RUSSIA: Pamphlet. Russian Advances in Asia. Maps. (Col. Cook, R.E.). Bound: Russia 3. Missing at transfer  	1866-1867	18660101	18671231			O	N	30	4525420	6
fo 881/1688			EGYPT: Firman. Conferring Hereditary Government of Egypt on Family of Mehemet Ali (Feb. 13, 1841); also Firman specifying amount of Tribute upon the Pasha; and Vizirial Letter and Instructions of the Porte on transmitting the same to Mehemet Ali 	1841	18410101	18411231		Bound: Egypt 36.	O	N	30	4527383	6
fo 881/1689			SWEDEN AND NORWAY: Paper. Norwegian Fishing Expeditions to Polar Seas. Bound: Sweden 2. Missing at transfer 	Sept. 2, 1869	18690902	18690902			O	N	30	4532947	6
fo 881/1690			GENERAL: Marriage of British subjects and foreigners; British subjects marrying foreigners at a British legation should be informed that such marriage is not necessarily valid without the dominions of Her Majesty. Missing at transfer. See PRO 30/29/259 No 1 	Feb 14 1867	18670214	18670214		Kept with waste of LO Reports	O	N	30	7814123	6
fo 881/1691			GENERAL: Opinion that Mr Burnley, Her Majesty's charge d'affaires at Dresden, is a minister within the meaning of Act 4 Geo IV. There is no legal restriction as to the hours within which marriages may be solemized abroad under 4 Geo IV Cap. 911. Missing at transfer 	20-Apr-69	19690420	19690420			O	N	30	7814124	6
fo 881/1692			UNITED STATES: Letter from Mr Mosley proposing the conclusion of a consular convention with the Unites States. Missing at transfer 	5 Aug 1869	18690805	18690805			O	N	30	7814125	6
fo 881/1693			MADAGASCAR: Rules of Court. O. in C. of 1869 	July 1, 1869	18690701	18690701			O	N	30	4530847	6
fo 881/1694			CHINA: Memo. Revision of Treaty of Tientsin. (Mr. T. F. Wade) 	Dec. 1868	18681201	18681231		Bound: China 4.	O	N	30	4526367	6
fo 881/1695			CHINA: Reports. Special Mission up the River Yangtsze. (Consul R. Swinhoe) 	July 15, 1869	18690715	18690715		Bound: China 47.	O	N	30	4526389	6
fo 881/1696			JAPAN: Desps. To Sir H. Parkes. Estimates for 1870, and Trade Returns 	May 1869	18690501	18690531		Bound: Japan 8.	O	N	30	4530606	6
fo 881/1697			JAPAN: Report. Italian inquiries into Culture of Silkworm 	Aug. 23, 1869	18690823	18690823		Bound: Japan 8.	O	N	30	4530611	6
fo 881/1698			JAPAN: Reports. Trade of Niigata. (Consul F. Lowder) 	Aug. 23, 1869	18690823	18690823		Bound: Japan 8.	O	N	30	4530612	6
fo 881/1699			JAPAN: Corres. Shimonoseki Indemnity. Revision of Tea and Silk Duties 	June 1869	18690601	18690630		Bound: Japan 8.	O	N	30	4530609	6
fo 881/1700			JAPAN: Report. Central Silk Districts of Japan. (Mr. F. O. Adams) 	Aug. 9, 1869	18690809	18690809		Bound: Japan 8.	O	N	30	4530610	6
fo 881/1701			PACIFIC ISLANDS: Corres. Kidnapping of Natives in Pacific Islands 	1868-1869	18680101	18691231		Bound: Pacific 7.	O	N	30	4531333	6
fo 881/1702			MUSCAT&#38; ZANZIBAR: Papers. Slave Trade on East Coast of Africa, and System pursued for its Suppression. Bound: Zanzibar 1. Missing at transfer 	Mar 31 1869	18690331	18690331			O	N	30	4531119	6
fo 881/1703			MUSCAT &amp; ZANZIBAR: Further Papers. Slave Trade on East Coast of Africa, and System pursued for its Suppression 	Oct 1869	18691001	18691031		Bound: Zanzibar 1.	O	N	30	4531120	6
fo 881/1704			MUSCAT &amp; ZANZIBAR: Letter. Suppression of East African Slave Trade. (Commodore Heath) 	Nov 15 1869	18691115	18691115		Bound: Zanzibar 1.	O	N	30	4531122	6
fo 881/1705			MUSCAT &amp; ZANZIBAR: Memo. Questions for consideration of Commissioners. Slave Trade on East Coast of Africa 	Oct 30 1869	18691030	18691030		Bound: Mema.	O	N	30	4531121	6
